date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:41	110/110	---MCZ	200	added ('OK')	text/plain	date:Mon,%2027%20Jul%202026%2017:04:40%20GMT	https://inspirastem.com/robots.txt		(from )
13:04:42	149359/149359	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2017:04:41%20GMT	https://inspirastem.com/	/home/erick/software/inspirastem_ws/inspirastem.com/index.html	(from )
13:04:43	2104/2104	---MCZ	200	added ('OK')	application/json	date:Mon,%2027%20Jul%202026%2017:04:42%20GMT	https://inspirastem.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finspirastem.com%2F	/home/erick/software/inspirastem_ws/inspirastem.com/wp-json/oembed/1.0/embed15bb.json	(from https://inspirastem.com/)
13:04:44	2250/2250	---MCZ	200	added ('OK')	text/xml	date:Mon,%2027%20Jul%202026%2017:04:43%20GMT	https://inspirastem.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finspirastem.com%2F&format=xml	/home/erick/software/inspirastem_ws/inspirastem.com/wp-json/oembed/1.0/embed3672	(from https://inspirastem.com/)
13:04:44	321/321	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2017:44:40%20GMT	https://inspirastem.com/wp-content/uploads/useanyfont/uaf.css?ver=1736444680	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/uploads/useanyfont/uaf2879.css	(from https://inspirastem.com/)
13:04:46	73840/73840	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Dec%202025%2004:29:28%20GMT	https://inspirastem.com/wp-content/uploads/maxmegamenu/style.css?ver=16cae3	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/uploads/maxmegamenu/style32b5.css	(from https://inspirastem.com/)
13:04:46	59004/59004	---M--	200	added ('OK')	text/css	date:Fri,%2005%20Dec%202025%2009:08:51%20GMT	https://inspirastem.com/wp-includes/css/dashicons.min.css?ver=7.0.2	/home/erick/software/inspirastem_ws/inspirastem.com/wp-includes/css/dashicons.min42a0.css	(from https://inspirastem.com/)
13:04:48	30821/30821	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2017:44:35%20GMT	https://inspirastem.com/wp-content/themes/martanda/style.min.css?ver=1.1.3	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/themes/martanda/style.minc358.css	(from https://inspirastem.com/)
13:04:48	131189/131189	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202026%2020:30:30%20GMT	https://inspirastem.com/wp-includes/css/dist/block-library/style.min.css?ver=7.0.2	/home/erick/software/inspirastem_ws/inspirastem.com/wp-includes/css/dist/block-library/style.min42a0.css	(from https://inspirastem.com/)
13:04:49	1737/1737	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Jul%202026%2020:06:52%20GMT	https://inspirastem.com/feed/	/home/erick/software/inspirastem_ws/inspirastem.com/feed/index.html	(from https://inspirastem.com/)
13:04:50	1710/1710	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Jul%202026%2020:06:52%20GMT	https://inspirastem.com/comments/feed/	/home/erick/software/inspirastem_ws/inspirastem.com/comments/feed/index.html	(from https://inspirastem.com/)
13:04:50	76464/76464	---M--	200	added ('OK')	font/woff2	date:Thu,%2009%20Jan%202025%2017:44:35%20GMT	https://inspirastem.com/wp-content/themes/uttama/fonts/Rubik.woff2	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/themes/uttama/fonts/Rubik.woff2	(from https://inspirastem.com/)
13:04:50	4052/4052	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202025%2017:44:35%20GMT	https://inspirastem.com/wp-content/themes/uttama/style.css?ver=1736444675	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/themes/uttama/style70e1.css	(from https://inspirastem.com/)
13:04:51	54666/54666	---M--	200	added ('OK')	text/css	date:Thu,%2014%20May%202026%2018:33:55%20GMT	https://inspirastem.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.0.5	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/plugins/elementor/assets/css/frontend.min631d.css	(from https://inspirastem.com/)
13:04:52	1364/1364	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202026%2018:45:09%20GMT	https://inspirastem.com/wp-content/uploads/elementor/css/post-922.css?ver=1784313909	/home/erick/software/inspirastem_ws/inspirastem.com/wp-content/uploads/elementor/css/post-9220fc2.css	(from https://inspirastem.com/)
